2026-01-27 14:49:08,654 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,679 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,694 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,707 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dct.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,721 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctstage.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,736 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dct.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,750 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:49:08,765 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/3, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,154 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,236 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,291 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/1, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,348 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dct.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,397 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctstage.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,446 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dct.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,628 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/2, headers={'trialauth': 'test_token'}
2026-01-27 14:50:03,681 - INFO - get_info_from_dct - patient_id=patient123 - get_info_from_dct 请求详情: method=GET, url=https://dctdev.test.trialdata.cn/api/Patient/Chat/PatientBaseInfo/patient123/3, headers={'trialauth': 'test_token'}
